3321
110772	一一例	1
104266	一一列举	1
91031	一一对应	2
110856	一一道来	1
84194	一丁	1
49875	一丁点	1
64952	一丁点儿	2
8140	一万	11
53463	一万七千	2
50664	一万七千多	1
26204	一万个	2
44532	一万二千	1
70574	一万五千元	1
92946	一万亿	1
14636	一万元	3
90273	一万公里	1
75668	一万块	1
64643	一万多	3
35133	一万年	2
68663	一万步	2
89345	一三五	2
64593	一三体	1
40528	一三去	1
66549	一上午	1
71622	一下一下	2
38774	一下子	17
70326	一下子把	1
10043	一不小心	19
96625	一不愿	1
86113	一不留神	4
72533	一专多能	1
84372	一且	1
32272	一世	8
64568	一业	4
72670	一丛	1
6518	一丝	24
100795	一丝一毫	1
35705	一丝不苟	7
90873	一丝丝	2
72671	一两	2
16377	一两个	7
56154	一两分	1
73289	一两千	1
43702	一两只	1
71623	一两周	2
76815	一两天	1
90559	一两套	2
116638	一两家	1
49942	一两年	4
10623	一两次	6
115662	一两款	1
67233	一两点	3
90895	一两片	1
89680	一两百万	2
32938	一两百元	1
93190	一两百年	1
117717	一两项	1
92983	一严	1
32939	一个一米	1
115160	一个七岁	1
108121	一个三岁	1
98883	一个三维	2
22118	一个个	61
67234	一个五岁	1
89681	一个亿	2
69944	一个劲	1
65835	一个劲儿	1
107037	一个千年	1
2388	一个半	12
65271	一个双	1
60433	一个圈	1
6688	一个多	13
71075	一个多元	1
72534	一个多月	5
68936	一个整	1
547	一个月	60
77682	一个样	1
70741	一个点	7
57240	一个班	3
116142	一个甲子	1
32940	一个男孩	1
38173	一个盆	2
114152	一个碗	1
24404	一个系列	1
18337	一个纸	1
96704	一个组	1
108418	一个肚子	1
94388	一个角	1
17957	一个身	1
15733	一个集	7
31961	一个零	1
115313	一个顶	1
89092	一丫姓	1
4090	一中	42
97540	一中全会	1
10065	一串	10
26205	一串串	3
72535	一为	3
72170	一主	3
90034	一主多	1
50665	一主馆	1
32882	一举	14
57945	一举一动	3
14637	一举两得	3
88924	一举多得	3
51420	一举成名	2
88463	一九七二年	1
41759	一九八	1
95238	一九八九年	1
70742	一九六八年	1
112006	一也然	1
46146	一乡	2
16378	一书	16
9845	一书中	10
49055	一书称	1
21950	一书行	2
75669	一买	1
2664	一事	14
73371	一事无成	1
3330	一二	11
29934	一二三	21
97637	一二三四	2
72672	一二分钟	1
59015	一二十	1
87679	一二尺	1
42999	一二层	2
72673	一二百斤	1
94233	一亏	1
28105	一五	4
87410	一五一十	1
50666	一井	1
32444	一产	3
106393	一产为	1
104892	一产种	2
24795	一亩	9
84493	一亭	2
81062	一亮	2
14604	一人	41
20807	一人守	1
92657	一人来	2
89847	一亿人	1
52646	一亿多年	1
55653	一介	2
109093	一介书生	1
48098	一仍其旧	1
15373	一从	2
28481	一仗	2
548	一代	68
12662	一代人	18
12663	一代代	14
107192	一代文宗	1
55870	一令	1
67952	一以	4
28482	一以贯之	3
904	一件	117
91732	一件件	3
57241	一价	3
25073	一任	5
2010	一份	170
37805	一企一证	3
83394	一休令	1
11048	一众	7
56190	一众俊	1
27048	一伙	3
111905	一伙人	1
8058	一会	17
6689	一会儿	32
86149	一传十	1
549	一位	226
3401	一体	245
4025	一体化	111
16148	一体式	3
105818	一体机	2
4571	一例	4
13161	一侧	24
106289	一個	1
28106	一倍	15
106742	一候	1
70421	一借	1
62180	一倾	1
84014	一做	1
6316	一元	8
110373	一入	1
95482	一八	2
4276	一共	42
19448	一关	2
108419	一具	1
57490	一册	3
25553	一再	10
98582	一再强调	1
85713	一冬	1
36896	一冲	1
96705	一决	1
49943	一冷	1
49944	一凛	2
73597	一凡	1
15374	一出	15
111829	一出场	2
62952	一击	2
56527	一击必杀	1
57605	一刀	6
16379	一刀切	4
19449	一分	10
83859	一分一秒	2
905	一分为二	5
95239	一分耕耘	1
31633	一分货	2
29852	一分钟	17
27049	一分钱	8
80369	一切办法	1
102193	一切都在	1
17200	一切都是	16
102687	一划	1
38719	一列	6
44319	一初	1
117413	一别	1
72482	一刮	1
13162	一到	20
53464	一刹那	2
13681	一刻	47
70381	一剂	2
109694	一剑	1
38775	一剥	1
22626	一副	24
62181	一副副	1
73598	一加	1
42585	一动	6
28483	一劳永逸	2
38776	一勒	1
28845	一勺	6
44929	一包	3
19062	一化	2
81344	一北	1
49619	一匹	6
56884	一区	9
53465	一十	1
53466	一十二	1
54430	一十八	1
40787	一千	5
89682	一千万	1
85132	一千三百	1
26206	一千个	3
112943	一千五百多	1
88106	一千五百年	1
22980	一千五百米	1
89683	一千亿	1
77898	一千元	1
70907	一千几百	1
85576	一千匹	1
81976	一千四百多年	1
94292	一千多	2
70908	一千多个	2
108043	一千家	1
54362	一千年	2
55810	一升	1
2011	一半	87
68191	一半则	3
70785	一半多	1
68073	一半脸	1
66958	一卒	1
89684	一单	1
81977	一卡	3
78241	一卡通	3
107627	一卧	1
57242	一卫	2
38450	一卫轩	1
103650	一印	1
40788	一卷	9
50667	一厅	5
90976	一压	1
34967	一厢情愿	2
105773	一厨	1
37060	一去	7
16380	一去不复	1
36119	一去不复返	8
77358	一去不复返了	2
3402	一县	3
18300	一双	19
62182	一双双	1
10066	一反	3
92947	一发	3
75670	一发不可收	1
75274	一发而不可收	1
77885	一发而不可收拾	1
91148	一变	2
86787	一叠	1
550	一口	54
42239	一口价	4
2665	一口气	15
109871	一口袋	1
92044	一古脑	1
906	一句	114
62183	一句句	1
20328	一只	53
9311	一台	36
6519	一叶	6
8141	一号	35
98398	一号线	1
99748	一号通	1
90896	一吃	1
4091	一同	52
8059	一名	147
49819	一向	8
74425	一吟	1
69883	一吨半	1
49876	一听	7
117546	一吸	1
11049	一员	25
551	一周	53
55086	一周年	3
18879	一味	19
107497	一命	1
74426	一咏	1
26207	一咳	1
12832	一品	17
61583	一哄而上	3
44930	一响	4
103579	一喝	1
113093	一嘻赖	1
18619	一回	9
110193	一因	1
37302	一团	4
83395	一团糟	1
88914	一园拓	1
23053	一围	1
17201	一国	16
28484	一国两制	5
99749	一图	3
26428	一圈	25
117313	一土	1
4572	一在	12
101647	一圭青	1
6690	一地	15
6887	一场	231
51421	一场场	7
70408	一址	1
8060	一块	117
70327	一块儿	4
77954	一块块	6
68509	一块钱	4
90992	一坨	1
80370	一型	1
57491	一城	9
113309	一城瓯	1
44320	一堂	13
78081	一堂课	4
552	一堆	20
22119	一堆堆	2
116452	一堡	1
84144	一堤	2
49290	一堵	5
78756	一墙	1
12166	一墙之隔	3
110493	一增	1
95616	一壁	1
6691	一声	43
47651	一声令下	6
49910	一声声	2
8035	一壶	3
16381	一壶水	1
2012	一处	118
81978	一处处	1
23340	一夏	6
44032	一夏前	1
69365	一夏极景	1
86114	一夏湿身	1
112359	一夏立	1
116944	一夏长	1
18620	一夜	18
19857	一夜之间	10
9312	一夜情	1
29407	一夜间	5
2666	一大	119
23921	一大半	5
86644	一大口	1
18621	一大块	1
28243	一大堆	11
29533	一大家子	4
95240	一大截	1
15634	一大批	28
3331	一大早	7
110194	一大步	2
66920	一大笔	2
85714	一大群	1
18622	一天到晚	1
72634	一天天	7
56372	一夫一妻	1
28392	一头	16
15375	一头雾水	5
